HC03,OVCA01,OVCA07,GCT01
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,1.465201,1.465201
1.465201,1.465201,2.072108,1.465201
1.465201,1.465201,2.072108,1.465201
1.465201,1.465201,2.072108,1.465201
1.465201,1.465201,2.072108,1.465201
1.465201,1.465201,2.072108,1.465201
1.465201,1.465201,2.072108,1.465201
1.465201,1.465201,2.072108,1.465201
1.465201,1.465201,2.072108,1.465201
1.465201,1.465201,2.072108,1.465201
1.465201,1.465201,2.072108,1.465201
1.465201,1.465201,2.072108,1.465201
1.465201,1.465201,2.072108,1.465201
