Gene name	Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene % GC content
GATA6	ENSG00000141448	18	19749404	19782491	1	44.76
GATA4	ENSG00000136574	8	11534468	11617511	1	48.32
FOXL2	ENSG00000183770	3	138663066	138665982	-1	64.62
SMAD4	ENSG00000141646	18	48494410	48611415	1	40.04
BRCA2	ENSG00000139618	13	32889611	32973805	1	38.09
APC	ENSG00000134982	5	112043195	112181936	1	37.63
ERBB2	ENSG00000141736	17	37844167	37886679	1	52.09
BCL11B	ENSG00000127152	14	99635624	99737861	-1	50.77
CDKN2A	ENSG00000147889	9	21967751	21995300	-1	41.19
PTEN	ENSG00000171862	10	89622870	89731687	1	35.77
CCND3	ENSG00000112576	6	41902671	42018095	-1	47.06
VEGFA	ENSG00000112715	6	43737921	43754224	1	56.40
RB1	ENSG00000139687	13	48877887	49056122	1	36.91
CCNE1	ENSG00000105173	19	30302805	30315215	1	47.46
MET	ENSG00000105976	7	116312444	116438440	1	39.03
CCND1	ENSG00000110092	11	69455855	69469242	1	58.58
SMARCA4	ENSG00000127616	19	11071598	11176071	1	52.75
ZFHX3	ENSG00000140836	16	72816784	73093597	-1	46.45
MAP2K4	ENSG00000065559	17	11924141	12047147	1	37.09
NF1	ENSG00000196712	17	29421945	29709134	1	37.62
CDK6	ENSG00000105810	7	92234235	92465908	-1	38.20
BRCA1	ENSG00000012048	17	41196312	41277500	-1	42.93
EGFR	ENSG00000146648	7	55086714	55324313	1	45.08
MYC	ENSG00000136997	8	128747680	128753674	1	53.81
KRAS	ENSG00000133703	12	25357723	25403870	-1	36.37
TP53	ENSG00000141510	17	7565097	7590856	-1	48.85
DICER1	ENSG00000100697	14	95552565	95624347	-1	38.00
